term,n,y0,peak_year,peak_share_pct,prevalence_2021_2025_pct,docs_total,kandydaci_na_poprzednika,tytuly_okolo_y0,tytuly_2023_2025,autor_top_pct,autor_eff_n,kraj_top,kraj_top_pct,kraj_eff_n,kraj_brak_pct,czasopismo_top_nlm,czasopismo_top_pct,czasopismo_eff_n,nachylenie_log,czas_podwojenia_lat,trwalosc_2025_do_szczytu,prac_w_oknie,kategoria,poprzednik,uwagi
a propensity matched,3,2020,2024,0.344,0.247,244,"of background data (lift 4.6, wsp. 8); summary of background (lift 4.6, wsp. 8)",[2019] Association of Neuraxial Anesthesia With Postoperative Venous Thromboembolism After Noncardiac Surgery: A Propensity-Matched Analysis of ACS-NSQIP Database. | [2019] Safety of Outpatient Single-level Cervical Total Disc Replacement: A Propensity-Matched Multi-institutional Study. | [2019] Simultaneous vs staged bilateral total knee arthroplasty: a propensity-matched case-control study from nine fast-track centres.,[2023] Joint awareness after fixed and mobile-bearing total knee arthroplasty with minimum 12 years of follow-up: A propensity matched-pair analysis. | [2023] Lumbar Arthroplasty Is Associated With a Lower Incidence of Adjacent Segment Disease Compared With ALIF: A Propensity-matched Analysis. | [2023] Borderline Dysplasia After Primary Hip Arthroscopy with Capsular Plication and Labral Preservation: Ten-Year Survivorship and Patient-Reported Outcomes.,5.5,106.4,USA,76.6,1.7,12.5,8703515,13.5,14.9,0.237,2.9,0.97,200,,,
augmented reality,2,2019,2023,0.323,0.246,272,"the navigation system (lift 73.4, wsp. 5); computer assisted surgery (lift 44.8, wsp. 4); computer assisted (lift 27.8, wsp. 12); acetabular component (lift 10.9, wsp. 6); inserted (lift 4.0, wsp. 4)",[2018] [3D augmented reality visualization for navigated osteosynthesis of pelvic fractures]. | [2018] A Pilot Study of Augmented Reality Technology Applied to the Acetabular Cup Placement During Total Hip Arthroplasty. | [2018] Augmented reality fluoroscopy simulation of the guide-wire insertion in DHS surgery: A proof of concept study.,[2023] Improving Cephalad Lag Screw Placement in the Femoral Head During Cephalomedullary Nailing Using a Novel Augmented Reality System. | [2023] Current Practices for Esthetic Facial Bone Contouring Surgery in Asians. | [2023] A review of advances in image-guided orthopedic surgery.,1.8,189.6,USA,24.9,9.0,8.2,9011043,6.4,54.2,0.276,2.5,0.87,219,,,
endovascular therapy,2,2015,2025,0.334,0.245,440,"patient with cli (lift 136.2, wsp. 26); with cli (lift 132.1, wsp. 32); limb ischemia cli (lift 126.9, wsp. 57); for critical limb (lift 82.1, wsp. 17); vessel in (lift 68.2, wsp. 7)",[2014] Endovascular therapy with novel high anterior tibial artery puncture for limb salvage in a case of critical lower limb ischemia. | [2014] Endovascular recanalization of infrapopliteal occlusions in patients with critical limb ischemia. | [2014] Long-term outcomes of endovascular therapy for aortoiliac bifurcation lesions in the real-AI registry.,[2023] High Global Limb Anatomic Staging System Femoropopliteal Grade is Positively Associated with Wound Healing in Patients with Chronic Limb-Threatening Ischemia Undergoing Endovascular Therapy Only for Femoropopliteal Disease. | [2023] Revascularization Strategies for Patients With Femoropopliteal Peripheral Artery Disease. | [2023] The Effect of Smoking Cessation on the Technical Success of Endovascular Treatment for Thromboangiitis Obliterans.,3.3,206.8,Japan,37.3,4.7,15.5,8407742,19.9,12.5,0.059,11.7,1.0,336,,,
reconstruction a systematic,3,2016,2024,0.283,0.242,333,"with autograft (lift 31.0, wsp. 4); double bundle (lift 15.5, wsp. 4); are presented (lift 11.3, wsp. 4); portal (lift 7.7, wsp. 4); animal (lift 4.3, wsp. 6)","[2015] Functional Outcome and Graft Retention in Patients With Septic Arthritis After Anterior Cruciate Ligament Reconstruction: A Systematic Review. | [2015] Advantages and Disadvantages of Transtibial, Anteromedial Portal, and Outside-In Femoral Tunnel Drilling in Single-Bundle Anterior Cruciate Ligament Reconstruction: A Systematic Review. | [2015] The Importance of Patient Sex in the Outcomes of Anterior Cruciate Ligament Reconstructions: A Systematic Review and Meta-analysis.",[2023] Failure modes after anterior cruciate ligament reconstruction: a systematic review and meta-analysis. | [2023] Persistent knee extension deficits are common after anterior cruciate ligament reconstruction: a systematic review and meta-analysis of randomised controlled trials. | [2023] The Medial Femoral Trochlea Osteochondral Flap for Scaphoid Reconstruction: A Systematic Review.,1.1,254.3,USA,32.6,6.6,4.6,8506498,14.8,17.1,0.096,7.2,0.99,283,,,
assisted total hip,3,2021,2024,0.337,0.238,242,"cup were (lift 53.5, wsp. 7); computer navigation (lift 37.1, wsp. 6); of the cup (lift 34.8, wsp. 7); the cup (lift 18.6, wsp. 7); the acetabular component (lift 16.5, wsp. 4)","[2020] Errors in femoral anteversion, femoral offset, and vertical offset following robot-assisted total hip arthroplasty. | [2020] A retrospective study comparing a single surgeon's experience on manual versus robot-assisted total hip arthroplasty after the learning curve of the latter procedure - A cohort study. | [2020] Impact of surgeon handedness in manual and robot-assisted total hip arthroplasty.",[2023] Evaluation of Comparative Efficacy and Safety of Surgical Approaches for Total Hip Arthroplasty: A Systematic Review and Network Meta-analysis. | [2023] Robotic arm-assisted total hip arthroplasty via a minimally invasive anterolateral approach in the supine position improves the precision of cup placement in patients with developmental dysplasia of the hip. | [2023] CT required to perform robotic-assisted total hip arthroplasty can identify previously undiagnosed osteoporosis and guide femoral fixation strategy.,2.3,138.6,China,37.4,3.7,6.9,8703515,12.0,20.6,0.217,3.2,0.79,175,,,
root tear,2,2018,2024,0.27,0.238,360,"the tibial tunnel (lift 49.1, wsp. 7); attachment of the (lift 44.0, wsp. 5); tear of (lift 32.4, wsp. 15); tear of the (lift 32.2, wsp. 12); mean lysholm (lift 26.3, wsp. 4)",[2017] A new aiming guide can create the tibial tunnel at favorable position in transtibial pullout repair for the medial meniscus posterior root tear. | [2017] Partial meniscectomy provides no benefit for symptomatic degenerative medial meniscus posterior root tears. | [2017] Large meniscus extrusion ratio is a poor prognostic factor of conservative treatment for medial meniscus posterior root tear.,"[2023] Editorial Commentary: During Anterior Cruciate Ligament Reconstruction, Lateral Extra-Articular Procedures Have Risks and Should be Reserved for Proper Indications: Do Not LET ALL Revision Anterior Cruciate Ligament Reconstructions Be the Same. | [2023] Editorial Commentary: High Tibial Osteotomy May Not Be Required With Medial Meniscus Root Repair. | [2023] Younger patients, lower BMI, complete meniscus root healing, lower HKA degree and shorter preoperative symptom duration were the independent risk factors correlated with the good correction of MME in patients with repaired MMPRTs.",2.6,160.0,Japan,24.7,5.8,11.8,9314730,19.9,11.3,0.079,8.7,0.77,271,,,
after arthroscopic rotator,3,2015,2024,0.29,0.237,462,"repair of a (lift 38.8, wsp. 8); self assessment (lift 38.1, wsp. 4); of full thickness (lift 38.0, wsp. 5); retraction of (lift 37.5, wsp. 4); the infraspinatus (lift 37.5, wsp. 4)",[2014] Rehabilitation following arthroscopic rotator cuff repair: a prospective randomized trial of immobilization compared with early motion. | [2014] Prognostic factors for successful recovery after arthroscopic rotator cuff repair: a systematic literature review. | [2014] Comparisons of retear patterns for 3 arthroscopic rotator cuff repair methods.,[2023] Editorial Commentary: Rotator Cuff Repair in Patients With Diabetes: Stricter Glycemic Control for the First 6 Months Is Associated With Better Healing. | [2023] History of mood and anxiety disorders does not affect the outcomes of arthroscopic rotator cuff repair. | [2023] Patient outcomes and return to play after arthroscopic rotator cuff repair in overhead athletes: a systematic review.,1.1,314.0,USA,26.7,6.6,8.2,8506498,19.9,9.6,0.037,18.7,0.62,367,,,
for chronic limb,3,2020,2024,0.283,0.237,228,"of the leg (lift 49.1, wsp. 6); died (lift 3.7, wsp. 4)","[2019] Contemporary (2009-2014) clinical outcomes after femoropopliteal bypass surgery for chronic limb threatening ischemia are inferior to those reported in the UK Bypass versus Angioplasty for Severe Ischaemia of the Leg (BASIL) trial (1999-2004). | [2019] Using the Society for Vascular Surgery Wound, Ischemia, and foot Infection classification to identify patients most likely to benefit from revascularization. | [2019] Comparison of Immediate and Long-term Outcomes in Men and Women Undergoing Revascularisation for Chronic Limb Threatening Ischaemia in the Bypass vs. Angioplasty in Severe I",[2023] Limb outcomes based on limb severity and anatomic complexity following infrapopliteal vein bypass for Japanese patients with chronic limb-threatening ischemia. | [2023] Effect of a continuous perineural levobupivacaine infusion on pain after major lower limb amputation: a randomised double-blind placebo-controlled trial. | [2023] The Effect of Smoking Cessation on the Technical Success of Endovascular Treatment for Thromboangiitis Obliterans.,1.5,156.5,USA,37.7,5.3,22.1,8407742,34.8,6.3,0.111,6.2,0.9,204,,,
rib fracture,2,2021,2022,0.263,0.234,408,"thoracoscopic (lift 89.3, wsp. 10); sternal (lift 64.8, wsp. 8); stabilization of (lift 57.8, wsp. 60); sternum (lift 37.2, wsp. 4); bank (lift 26.1, wsp. 4)","[2020] Functional Outcomes and Complications Following Scapulothoracic Arthrodesis in Patients with Facioscapulohumeral Dystrophy. | [2020] A multicenter, prospective, controlled clinical trial of surgical stabilization of rib fractures in patients with severe, nonflail fracture patterns (Chest Wall Injury Society NONFLAIL). | [2020] Testing the clinical validity of the Bemelman Rib Fracture Management Guideline.",[2023] Surgical and perioperative management of flail chest with titanium plates: a French cohort series from a thoracic referral center. | [2023] Biomechanical characteristics of rib fracture fixation systems. | [2023] Rib Fracture Map in High-Energy Injuries.,2.9,140.9,USA,38.6,4.9,3.5,101570622,16.3,16.2,,,0.74,172,,,
patient specific instrumentation,3,2013,2025,0.308,0.232,407,"instrumentation the (lift 78.6, wsp. 10); instrumentation for (lift 65.5, wsp. 16); instrumentation was (lift 38.9, wsp. 5); of the mechanical (lift 27.4, wsp. 4); femoral component in (lift 26.5, wsp. 6)",[2012] Total knee arthroplasty in osteopetrosis using patient-specific instrumentation. | [2012] Patient-specific instrumentation for total knee replacement verified by computer navigation: a case report. | [2012] Evaluation of the accuracy of a patient-specific instrumentation by navigation.,[2023] Effectiveness and Accuracy of a Patient-Specific Instrumentation System for Total Hip Arthroplasty. | [2023] Comparative efficacy of the different cutting guides in unicompartmental knee arthroplasty: A systematic-review and network meta-analysis. | [2023] The efficacy and safety of patient-specific instrumentation in primary total knee replacement: a systematic review and meta-analysis.,1.3,325.7,USA,21.3,11.4,9.9,9314730,11.4,26.4,0.017,40.7,1.0,395,,,
and validation of,3,2023,2025,0.348,0.23,343,"the guideline (lift 16.0, wsp. 4); tested in (lift 9.1, wsp. 4); total hip replacement (lift 3.6, wsp. 6)","[2022] Development and Validation of a Finite Element Model of Wear in UHMWPE Liner Using Experimental Data From Hip Simulator Studies. | [2022] A Patient-specific Approach to Alignment and Proximal Junctional Kyphosis Risk Assessment in Adult Spinal Deformity Surgery: Development and Validation of a Predictive Tool. | [2022] The University of California-Los Angeles (UCLA) shoulder scale: translation, reliability and validation of a Thai version of UCLA shoulder scale in rotator cuff tear patients.",[2023] Amputation for Complex Regional Pain Syndrome: Meta-Analysis and Validation of a Histopathology Scoring System. | [2023] Development and Validation of a Nomogram to Predict the Risk of Lumbar Disk Reherniation within 2 Years After Percutaneous Endoscopic Lumbar Discectomy. | [2023] Design and Validation of a 3D Printed Cranio-Facial Simulator: A Novel Tool for Surgical Education.,1.5,129.0,China,59.8,2.6,3.1,9301980,8.4,27.9,0.169,4.1,1.0,131,,,
percutaneous endoscopic lumbar,3,2016,2018,0.32,0.23,420,"cannula (lift 100.1, wsp. 10); herniated (lift 78.7, wsp. 28); prolapse (lift 45.6, wsp. 4); the epidural (lift 32.4, wsp. 5); cauda equina (lift 31.0, wsp. 5)","[2015] Unsuccessful percutaneous endoscopic lumbar discectomy: a single-center experience of 10,228 cases. | [2015] Percutaneous endoscopic lumbar discectomy for a huge herniated disc causing acute cauda equina syndrome: a case report. | [2015] Epidural Steroids After a Percutaneous Endoscopic Lumbar Discectomy.",[2023] Retrospective Analysis of Paraspinal Muscle-Splitting Microscopic-Assisted Discectomy Versus Percutaneous Endoscopic Lumbar Discectomy for the Treatment of Far-Lateral Lumbar Disc Herniation. | [2023] Development and Validation of a Nomogram to Predict the Risk of Lumbar Disk Reherniation within 2 Years After Percutaneous Endoscopic Lumbar Discectomy. | [2023] [The consensus of Chinese experts on the application of percutaneous endoscopic lumbar interbody fusion].,1.7,271.3,China,80.5,1.5,8.4,101528275,17.5,16.1,0.18,3.8,0.63,359,,,
full endoscopic,2,2017,2023,0.301,0.228,302,"herniated (lift 51.1, wsp. 12); excellent or good (lift 28.1, wsp. 4); ventral (lift 27.5, wsp. 7); or good (lift 22.4, wsp. 4); the disc (lift 19.9, wsp. 5)",[2016] The Clinical Results of Percutaneous Endoscopic Interlaminar Discectomy (PEID) in the Treatment of Calcified Lumbar Disc Herniation: A Case-Control Study. | [2016] Clinical outcomes after percutaneous transforaminal endoscopic discectomy for lumbar disc herniation: a prospective case series. | [2016] Full-Endoscopic Procedures Versus Traditional Discectomy Surgery for Discectomy: A Systematic Review and Meta-analysis of Current Global Clinical Trials.,[2023] [Treatment of degenerative lumbar lateral recess stenosis with full endoscopic lamina fenestration discectomy]. | [2023] Full-Endoscopic Lumbar Discectomy Approach Selection: A Systematic Review and Proposed Algorithm. | [2023] Comparison of the Tubular Approach and Uniportal Interlaminar Full-Endoscopic Approach in the Treatment of Lumbar Spinal Stenosis: Our 3-Year Results.,1.5,216.0,China,48.2,3.7,8.9,101528275,21.2,15.0,0.15,4.6,0.65,269,,,
comparison of clinical,3,2020,2023,0.301,0.227,362,"case were followed (lift 31.8, wsp. 4); osteoarthritis of the (lift 5.2, wsp. 4); the cervical (lift 5.0, wsp. 6)",[2019] Comparison of Clinical and Radiologic Outcomes Between Self-Locking Stand-Alone Cage and Cage with Anterior Plate for Multilevel Anterior Cervical Discectomy and Fusion: A Meta-Analysis. | [2019] A Comparison of Clinical Outcomes Following Femoropopliteal Bypass or Plain Balloon Angioplasty with Selective Bare Metal Stenting in the Bypass Versus Angioplasty in Severe Ischaemia of the Limb (BASIL) Trial. | [2019] Comparison of clinical outcomes and safety between laminectomy with instrumented fusion versus laminoplasty for the treatment of multilevel cervical spondylotic myelopathy.,[2023] Comparison of clinical and radiographic results of mobile-bearing total ankle arthroplasty between osteoarthritis and rheumatoid arthritis. | [2023] Comparison of Clinical Outcomes and Muscle Invasiveness between Unilateral Biportal Endoscopic Discectomy and Percutaneous Endoscopic Interlaminar Discectomy for Lumbar Disc Herniation at L5/S1 Level. | [2023] [Comparison of clinical efficacy between percutaneous endoscopic transforaminal discectomy and coblation nucleoplasty in the treatment of inclusive lumbar disc herniation].,1.0,193.0,China,48.0,3.7,9.2,9815790,6.2,43.0,0.153,4.5,0.76,195,,,
secondary analysis of,3,2019,2025,0.294,0.22,287,"the wrist and (lift 47.5, wsp. 4); the wrist (lift 9.6, wsp. 5)",[2018] Intrawound Vancomycin Decreases the Risk of Surgical Site Infection After Posterior Spine Surgery: A Multicenter Analysis. | [2018] Changes in Anxiety and Depression Are Mediated by Changes in Pain Severity in Patients Undergoing Lower-Extremity Total Joint Arthroplasty. | [2018] Pain and sensitization after total knee replacement or nonsurgical treatment in patients with knee osteoarthritis: Identifying potential predictors of outcome at 12 months.,[2023] The number of falls recalled in the past year and balance confidence predict the frequency of injurious falls by unilateral lower limb prosthesis users. | [2023] Is Enoxaparin Associated With a Higher Risk of Persistent Wound Drainage Than Aspirin? A Secondary Analysis of Data From the CRISTAL Randomized Trial. | [2023] Key Modifiable Factors in Community Participation Among Adults With Lower Limb Amputation.,1.9,185.3,USA,44.3,4.5,7.6,0014030,7.6,41.9,0.126,5.5,1.0,210,,,
and systematic review,3,2018,2021,0.25,0.215,323,"report a (lift 4.4, wsp. 6); discussed (lift 3.5, wsp. 4); report of (lift 3.4, wsp. 5)",[2017] Is there still a role for osteoarticular allograft reconstruction in musculoskeletal tumour surgery? a long-term follow-up study of 38 patients and systematic review of the literature. | [2017] A Meta-Analysis and Systematic Review Evaluating Skin Closure After Total Knee Arthroplasty-What Is the Best Method? | [2017] Preoperative optimisation of anaemia for primary total hip arthroplasty: a systematic review.,"[2023] Rehabilitation for revision total knee replacement: survey of current service provision and systematic review. | [2023] Prior hip arthroscopy increases the risk of dislocation, reoperation, and revision after hip arthroplasty: An updated meta-analysis and systematic review. | [2023] Irritation from metalwork after ankle arthrodesis fixed using screws: a proportional meta-analysis and systematic review.",4.3,152.0,China,39.3,4.9,7.0,101265112,7.4,49.9,0.258,2.7,0.75,230,,,
robotic arm assisted,3,2019,2024,0.263,0.212,230,"case in which (lift 17.3, wsp. 5); the patellar (lift 11.7, wsp. 4); three case (lift 8.2, wsp. 4); acetabular component (lift 5.4, wsp. 4); experience with (lift 4.7, wsp. 4)",[2018] Midterm Survivorship and Patient Satisfaction of Robotic-Arm-Assisted Medial Unicompartmental Knee Arthroplasty: A Multicenter Study. | [2018] Robotic Arm-Assisted Total Knee Arthroplasty. | [2018] Robotic-Arm-Assisted vs Conventional Unicompartmental Knee Arthroplasty. The 2-Year Clinical Outcomes of a Randomized Controlled Trial.,[2023] Avoiding Lateral Laxity in Robotic Arm-Assisted Total Knee Arthroplasty-A Surgical Technique Describing a New Method of Gap Capture and Balancing Strategy. | [2023] No difference in clinical outcomes between functionally aligned cruciate-retaining and posterior-stabilized robotic-assisted total knee arthroplasty. | [2023] Robotic-arm assisted lateral unicompartmental knee arthroplasty: 5-Year outcomes & survivorship.,5.0,97.2,USA,34.0,5.7,5.4,101599229,12.9,16.5,0.13,5.4,0.64,202,,,
blind randomized controlled,3,2023,2025,0.341,0.211,369,"infusion of (lift 41.3, wsp. 6); min after (lift 37.2, wsp. 4); kg 1 (lift 29.2, wsp. 4); infusion (lift 19.5, wsp. 9); injection of (lift 15.2, wsp. 9)","[2022] Is the French Paradox cementing philosophy superior to the standard cementing? A randomized controlled radiostereometric trial and comparative analysis. | [2022] Comparison Between Ultrasound-Guided Suprainguinal Fascia Iliaca Block and Anterior Quadratus Lumborum Block for Total Hip Arthroplasty: A Prospective, Double-Blind, Randomized Controlled Trial. | [2022] Does Nefopam Provide Analgesic Effect and Reduce Morphine Consumption After Primary Total Knee Arthroplasty? A Prospective, Double-Blind, Randomized Controlled Trial.","[2023] Outcomes following osteotome-mediated sinus floor elevation with Bio-Oss Collagen or no grafting material: a one-year single-blind randomized controlled trial. | [2023] Dexmedetomidine Prolongs the Analgesic Effects of Periarticular Infiltration Analgesia following Total Knee Arthroplasty: A Prospective, Double-Blind, Randomized Controlled Trial. | [2023] Effect of different doses of epidural dexmedetomidine on reducing visceral traction reaction for cesarean section: a double-blind randomized controlled trial.",2.6,101.5,China,33.3,7.1,5.3,8703515,8.8,33.7,0.298,2.3,1.0,114,,,
a nomogram,2,2023,2025,0.341,0.208,185,,[2022] A Patient-specific Approach to Alignment and Proximal Junctional Kyphosis Risk Assessment in Adult Spinal Deformity Surgery: Development and Validation of a Predictive Tool. | [2022] A nomogram for predicting skin necrosis risk after open reduction and internal fixation for tibia fractures. | [2022] Risk factors analysis and nomogram construction for blood transfusion in elderly patients with femoral neck fractures undergoing hemiarthroplasty.,[2023] Development and Validation of a Nomogram to Predict the Risk of Lumbar Disk Reherniation within 2 Years After Percutaneous Endoscopic Lumbar Discectomy. | [2023] A nomogram for predicting residual low back pain after percutaneous kyphoplasty in osteoporotic vertebral compression fractures. | [2023] A Nomogram That Characterizes a Patient's Odds of Developing Squeaking After Fourth-generation Ceramic-on-ceramic THA.,1.6,119.1,China,96.6,1.1,4.1,100968565,11.4,18.5,0.191,3.6,1.0,123,,,
national joint registry,3,2015,2025,0.274,0.207,377,"replacement has (lift 51.4, wsp. 6); on metal bearing (lift 38.5, wsp. 4); metal bearing (lift 35.0, wsp. 4); replacement performed (lift 33.5, wsp. 4); hip replacement with (lift 32.8, wsp. 4)","[2014] An estimation of the incidence of squeaking and revision surgery for squeaking in ceramic-on-ceramic total hip replacement: a meta-analysis and report from the Australian Orthopaedic Association National Joint Registry. | [2014] A systematic review of clinical outcomes and survivorship after total knee arthroplasty with a contemporary modular knee system. | [2014] Case studies in management of THA failure secondary to taper corrosion, modular junctions and metal-on-metal bearings.","[2023] First-time revision knee arthroplasty using a hinged prosthesis : temporal trends, indications, and risk factors associated with re-revision using data from the National Joint Registry for 3,855 patients. | [2023] Survivorship of the dual-mobility construct in elective primary total hip replacement: a systematic review and meta-analysis including registry data. | [2023] Short-term outcomes following 159 stemmed pyrolytic carbon shoulder hemiarthroplasties and how they compare with conventional hemiarthroplasties and total shoulder arthroplasties in patients younger than 60 years with os",2.7,156.1,UK,75.4,1.7,5.7,101599229,17.8,14.6,0.052,13.4,1.0,297,,,
registry study,2,2018,2025,0.261,0.205,267,"bearing surface (lift 23.3, wsp. 6); followup (lift 20.1, wsp. 8); metal on (lift 11.3, wsp. 7); metal on metal (lift 8.1, wsp. 4); had been (lift 3.8, wsp. 4)","[2017] Need for Two-Year Patient-Reported Outcomes Score for Lumbar Spine Surgery Is Procedure-Specific: Analysis From a Prospective Longitudinal Spine Registry. | [2017] Hamstring Autograft versus Patellar Tendon Autograft for ACL Reconstruction: Is There a Difference in Graft Failure Rate? A Meta-analysis of 47,613 Patients. | [2017] Increased risk of intraoperative and early postoperative periprosthetic femoral fracture with uncemented stems.",[2023] Changes in research quality and surgical trends at the international congress on early-onset scoliosis. | [2023] Comparison of single taper and dual taper versions of the same stem design in total hip arthroplasty for primary osteoarthritis. | [2023] Use of prophylactic perioperative antibiotics for lumbar spinal fusions: A nationwide population-based cohort study.,3.3,161.5,USA,15.7,11.3,7.5,8703515,12.7,18.9,0.085,8.1,1.0,213,,,
early onset scoliosis,3,2018,2020,0.333,0.203,422,"scoliosis study design (lift 51.3, wsp. 12); in distraction (lift 50.3, wsp. 6); degree range (lift 49.1, wsp. 8); degree at (lift 42.3, wsp. 10); of distraction (lift 35.0, wsp. 17)",[2017] Magnetically Controlled Growing Rods for the Management of Early-onset Scoliosis: A Preliminary Report. | [2017] What is the Risk of Developing Proximal Junctional Kyphosis During Growth Friendly Treatments for Early-onset Scoliosis? | [2017] Serial Casting for Infantile Idiopathic Scoliosis: Radiographic Outcomes and Factors Associated With Response to Treatment.,[2023] Changes in research quality and surgical trends at the international congress on early-onset scoliosis. | [2023] Surgical treatment of neuromuscular Early Onset Scoliosis with a bilateral posterior one-way rod compared to the Spring Distraction System: study protocol for a limited-efficacy Randomized Controlled Trial (BiPOWR). | [2023] Automated Clustering Technique (ACT) for Early Onset Scoliosis: A preliminary report.,1.4,214.7,USA,41.5,4.6,21.9,101603979,25.9,7.7,0.234,3.0,0.68,278,,,
during the covid,3,2020,2020,0.399,0.201,215,"waiting list (lift 70.4, wsp. 6); early experience (lift 41.3, wsp. 5); polymerase chain reaction (lift 18.2, wsp. 4); the period of (lift 10.6, wsp. 4); a result of (lift 5.4, wsp. 5)",[2020] Guidelines for Ambulatory Surgery Centers for the Care of Surgically Necessary/Time-Sensitive Orthopaedic Cases During the COVID-19 Pandemic. | [2020] A Review of State Guidelines for Elective Orthopaedic Procedures During the COVID-19 Outbreak. | [2020] Practice Management During the COVID-19 Pandemic.,"[2023] All Feet on Deck: The Role of Podiatry During the COVID-19 Pandemic: Preventing Hospitalizations in an Overburdened Health-Care System, Reducing Amputation and Death in People with Diabetes. | [2023] Diabetes-Related Major and Minor Amputation Risk Increased During the COVID-19 Pandemic. | [2024] Implementing an innovative, patient-centered approach to day case arthroplasty: improving patient outcomes through remote preoperative pharmacist consultations.",0.9,209.2,USA,31.7,6.6,16.3,8703515,5.6,55.2,,,0.22,215,,,
unilateral biportal endoscopic,3,2022,2025,0.361,0.201,164,"epidural hematoma (lift 80.4, wsp. 7); decompression of the (lift 25.2, wsp. 4); herniated (lift 18.5, wsp. 4); epidural (lift 14.4, wsp. 8); portal (lift 13.9, wsp. 6)","[2021] Clinical Comparison of Unilateral Biportal Endoscopic Laminectomy versus Microendoscopic Laminectomy for Single-Level Laminectomy: A Single-Center, Retrospective Analysis. | [2021] Analysis of risk factors for perioperative hidden blood loss in unilateral biportal endoscopic spine surgery: a retrospective multicenter study. | [2021] Clinical comparison of unilateral biportal endoscopic discectomy with percutaneous endoscopic lumbar discectomy for single l4/5-level lumbar disk herniation.",[2023] Comparison of Clinical Outcomes and Muscle Invasiveness between Unilateral Biportal Endoscopic Discectomy and Percutaneous Endoscopic Interlaminar Discectomy for Lumbar Disc Herniation at L5/S1 Level. | [2023] Transforaminal Interbody Fusion Using the Unilateral Biportal Endoscopic Technique Compared With Transforaminal Lumbar Interbody Fusion for the Treatment of Lumbar Spine Diseases: Analysis of Clinical and Radiological Outcomes. | [2023] Clinical Efficacy of Bilateral Decompression Using Biportal Endoscopic Versus Minimally Invasive Transforaminal Lumbar Interbody Fusion for the Tr,3.4,120.1,China,84.9,1.4,4.1,101265112,13.1,15.3,0.245,2.8,1.0,145,,,
of covid 19,3,2020,2020,0.446,0.2,222,"waiting list (lift 53.4, wsp. 5); polymerase chain reaction (lift 37.2, wsp. 9); testing of (lift 9.1, wsp. 4); had to (lift 8.7, wsp. 5); we report a (lift 5.2, wsp. 6)",[2020] What's Important: Facing Fear in the Time of COVID-19. | [2020] Recommendations for the Care of Pediatric Orthopaedic Patients During the COVID-19 Pandemic. | [2020] COVID-19 and orthopaedic surgeons: the Indian scenario.,"[2023] Physical and financial impacts caused by the COVID-19 pandemic exacerbate knee pain: A longitudinal study of a large-scale general population. | [2023] COVID-19 vaccination improved outcomes in the treatment of geriatric hip fractures between December 2020 and January 2022. | [2023] Impact of COVID-19 on Elective Orthopaedic Surgery Outcomes During the Peak of the Pandemic, an Uptick of Complications: An Analysis of the ACS-NSQIP.",0.9,212.4,USA,26.5,7.8,18.5,8703515,7.2,45.7,,,0.13,222,,,
transforaminal endoscopic,2,2016,2021,0.262,0.2,315,"excellent or good (lift 50.9, wsp. 8); or good (lift 41.5, wsp. 8); fair and (lift 35.8, wsp. 5); radicular pain (lift 34.4, wsp. 4); radicular (lift 32.5, wsp. 7)",[2015] Transforaminal endoscopic solution to disk reherniation post-mini-TLIF: case report. | [2015] Transforaminal endoscopic treatment of lumbar radiculopathy after instrumented lumbar spine fusion. | [2015] Evaluation of transforaminal endoscopic lumbar discectomy in the treatment of lumbar disc herniation.,[2023] [Visual trephine arthroplasty assisted percutaneous transforaminal endoscopic discectomy for lumbar disc herniation]. | [2023] Clinical efficacy of transforaminal endoscopic discectomy in the treatment of recurrent lumbar disc herniation: a single-center retrospective analysis. | [2023] Full-Endoscopic Lumbar Discectomy Approach Selection: A Systematic Review and Proposed Algorithm.,2.8,203.6,China,64.8,2.3,7.4,101528275,18.9,17.1,0.216,3.2,0.92,285,,,
oblique lateral,2,2020,2022,0.235,0.198,221,"disc level (lift 60.1, wsp. 5); the disc (lift 26.9, wsp. 10); disc space (lift 25.9, wsp. 6); ventral (lift 16.4, wsp. 6); of background data (lift 5.4, wsp. 11)",[2019] Impact of Preoperative Diagnosis on Clinical Outcomes of Oblique Lateral Interbody Fusion for Lumbar Degenerative Disease in a Single-institution Prospective Cohort. | [2019] Robot-assisted Percutaneous Transfacet Screw Fixation Supplementing Oblique Lateral Interbody Fusion Procedure: Accuracy and Safety Evaluation of This Novel Minimally Invasive Technique. | [2019] Microscopic Ventral Neural Decompression in Oblique Lateral Interbody Fusion.,[2023] [Application of oblique lateral interbody fusion in the treatment of lumbar intervertebral disc degeneration in patients with Modic change and endplate sclerosis]. | [2023] Early effect of standalone oblique lateral interbody fusion vs. combined with lateral screw fixation of the vertebral body on single-level lumbar degenerative disc disease: A pilot study. | [2023] Concentration-Dependent Efficacy of Recombinant Human Bone Morphogenetic Protein-2 Using a HA/β-TCP Hydrogel Carrier in a Mini-Pig Vertebral Oblique Lateral Interbody Fusion Model.,2.9,121.0,China,61.4,2.5,5.1,101528275,12.0,18.8,0.155,4.5,0.8,175,,,
