term,n,y0,udzial_2005,udzial_2006,udzial_2007,udzial_2008,udzial_2009,udzial_2010,udzial_2011,udzial_2012,udzial_2013,udzial_2014,udzial_2015,udzial_2016,udzial_2017,udzial_2018,udzial_2019,udzial_2020,udzial_2021,udzial_2022,udzial_2023,udzial_2024,udzial_2025,peak_year,peak_share_pct,prevalence_2021_2025_pct,docs_total,kandydaci_na_poprzednika,tytuly_okolo_y0,tytuly_2023_2025,poprzednik_glowny,tytuly_poprzednika,tytuly_WSPOLNE,kategoria,poprzednik,uwagi
systematic review,2,2014,0.496,0.394,0.82,0.756,1.413,1.501,1.859,2.013,2.518,2.957,3.559,3.712,4.201,4.691,4.999,5.312,6.599,6.903,6.95,7.228,7.612,2025,7.612,7.055,10854,"quasi randomized (lift 9.3, wsp. 26); conclusion on the (lift 8.8, wsp. 24); we undertook a (lift 6.7, wsp. 13); english literature (lift 6.6, wsp. 18); searched the cochrane (lift 6.5, wsp. 15)","[2013] Lateral extracavitary, costotransversectomy, and transthoracic thoracotomy approaches to the thoracic spine: review of techniques and complications. | [2013] Computer-assisted total knee arthroplasty is currently of no proven clinical benefit: a systematic review. | [2013] Prevalence of adjacent segment degeneration after spine surgery: a systematic review and meta-analysis.",[2023] Success Rate of Mandible Implants Placed in Vascularized Fibula Bone Graft: A Systematic Review. | [2023] Evaluation of the Posterior Tilt Angle in Predicting Failure of Nondisplaced Femoral Neck Fractures After Internal Fixation: A Systematic Review. | [2023] Management of Proximal Humeral Fractures in Adults: A Systematic Review and Meta-Analysis.,quasi randomized,[2012] Manipulative interventions for reducing pulled elbow in young children. | [2012] Intramedullary nailing for tibial shaft fractures in adults. | [2012] Surgical versus non-surgical interventions for treating humeral shaft fractures in adults.,[2012] Anatomic Bankart repair compared with nonoperative treatment and/or arthroscopic lavage for first-time traumatic shoulder dislocation. | [2012] Comparison of the minimally invasive and standard medial parapatellar approaches for primary total knee arthroplasty. | [2012] Chinese manipulation for mechanical neck pain: a systematic review.,,,
joint replacement registry,3,2012,0.0,0.012,0.023,0.021,0.058,0.101,0.05,0.116,0.157,0.164,0.163,0.101,0.132,0.16,0.258,0.214,0.306,0.394,0.331,0.304,0.314,2022,0.394,0.329,481,"per cent (lift 34.4, wsp. 4); hip replacement for (lift 31.1, wsp. 5); bearing surface (lift 26.3, wsp. 8); resurfacing (lift 11.5, wsp. 12); hip resurfacing (lift 9.9, wsp. 6)",[2011] Meat consumption and risk of primary hip and knee joint replacement due to osteoarthritis: a prospective cohort study. | [2011] Perioperative mortality after hemiarthroplasty related to fixation method. | [2011] Different competing risks models applied to data from the Australian Orthopaedic Association National Joint Replacement Registry.,[2023] The James A. Rand Young Investigator's Award: Increased Revision Risk With Mobile Bearings in Total Knee Arthroplasty: An Analysis of the American Joint Replacement Registry. | [2023] Are joint replacement registries associated with burden of revision changes? A real-world panel data regression analysis. | [2023] Is Enoxaparin Associated With a Higher Risk of Persistent Wound Drainage Than Aspirin? A Secondary Analysis of Data From the CRISTAL Randomized Trial.,per cent,[2010] Anatomic stem design reduces risk of thin cement mantles in primary hip replacement. | [2010] Effect of genistin on bone formation. | [2010] Quantitative sensory tests before and 1(1/2) years after orthognathic surgery: a cross-sectional study.,[2010] Early outcomes of patella resurfacing in total knee arthroplasty. | [2010] Poor outcome of revised resurfacing hip arthroplasty. | [2010] Outcome of revision of unicompartmental knee replacement.,,,
biportal endoscopic,2,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.014,0.049,0.058,0.083,0.081,0.297,0.248,0.371,0.508,2025,0.508,0.299,255,"epidural hematoma (lift 57.0, wsp. 8); decompressive laminectomy (lift 50.8, wsp. 5); herniated (lift 40.3, wsp. 14); decompressive (lift 30.5, wsp. 9); microscope (lift 20.9, wsp. 5)","[2021] Clinical Comparison of Unilateral Biportal Endoscopic Laminectomy versus Microendoscopic Laminectomy for Single-Level Laminectomy: A Single-Center, Retrospective Analysis. | [2021] Postoperative spinal epidural hematoma in a biportal endoscopic spine surgery. | [2021] Modified far lateral endoscopic transforaminal lumbar interbody fusion using a biportal endoscopic approach: technical report and preliminary results.",[2023] A Low-Cost Mobile Training Model for Biportal Endoscopic Spinal Surgery. | [2023] Comparison of Clinical Outcomes and Muscle Invasiveness between Unilateral Biportal Endoscopic Discectomy and Percutaneous Endoscopic Interlaminar Discectomy for Lumbar Disc Herniation at L5/S1 Level. | [2023] Transforaminal Interbody Fusion Using the Unilateral Biportal Endoscopic Technique Compared With Transforaminal Lumbar Interbody Fusion for the Treatment of Lumbar Spine Diseases: Analysis of Clinical and Radiological Outcomes.,epidural hematoma,[2020] Five-year Reoperation Rates and Causes for Reoperations Following Lumbar Microendoscopic Discectomy and Decompression. | [2020] Lumbar artery pseudoaneurysm: a rare case of delayed onset incomplete cauda equina syndrome following transforaminal lumbar interbody fusion. | [2020] Spontaneous Spinal Epidural Hematoma After Normal Spontaneous Delivery with Epidural Analgesia: Case Report and Literature Review.,[2021] Postoperative spinal epidural hematoma in a biportal endoscopic spine surgery. | [2022] [Comparison of unilateral biportal endoscopic transforaminal lumbar interbody fusion versus minimally invasive tubular transforaminal lumbar interbody fusion for lumbar degenerative disease]. | [2022] [Unilateral biportal endoscopic discectomy for high-grade migrated lumbar disc herniation].,,,
cephalomedullary,1,2019,0.051,0.012,0.035,0.031,0.039,0.074,0.092,0.066,0.09,0.156,0.2,0.137,0.23,0.146,0.206,0.196,0.343,0.311,0.27,0.297,0.261,2021,0.343,0.298,459,"of the nail (lift 51.7, wsp. 14); the trochanteric (lift 46.6, wsp. 6); gamma (lift 29.8, wsp. 8); the unstable (lift 25.5, wsp. 5); the tip of (lift 22.6, wsp. 10)",[2018] Does the Angle of the Nail Matter for Pertrochanteric Fracture Reduction? Matching Nail Angle and Native Neck-Shaft Angle. | [2018] Comparison of a twin interlocking derotation and compression screw cephalomedullary nail (InterTAN) with a single screw derotation cephalomedullary nail (proximal femoral nail antirotation): a systematic review and meta-analysis for intertrochanteric fractures. | [2018] What Is the Influence of a Delay to Surgery >24 Hours on the Rate of Red Blood Cell Transfusion in Elderly Patients With Intertrochanteric or Subtrochanteric Hip Fractures Treated With Cepha,[2023] Improving Cephalad Lag Screw Placement in the Femoral Head During Cephalomedullary Nailing Using a Novel Augmented Reality System. | [2023] Conversion total hip arthroplasty following proximal femur fracture: A retrospective analysis. | [2023] Rotational Instability and Complications Following Extracapsular Hip Fracture Fixation.,of the nail,[2017] Are fingernails a key to unlocking the puzzle of mammalian limb regeneration? | [2017] The risk of iatrogenic injury to anterior tibial artery variations during tibial nail distal interlocking. | [2017] Removal of interlocking intramedullary nail for relieve of knee pain after tibial fracture repair.,[2017] Is calcar referenced tip-apex distance a better predicting factor for cutting out in biaxial cephalomedullary nails than tip-apex distance? | [2018] Does the Angle of the Nail Matter for Pertrochanteric Fracture Reduction? Matching Nail Angle and Native Neck-Shaft Angle. | [2018] Validation of Neck-Shaft Angle Correction After Cephalomedullary Nail Fixation.,,,
a scoping review,3,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.015,0.007,0.015,0.022,0.021,0.049,0.077,0.065,0.156,0.194,0.316,0.324,0.462,2025,0.462,0.288,254,"give (lift 4.8, wsp. 4); animal (lift 3.7, wsp. 5)",[2020] Development of a core outcome set for lower limb orthopaedic surgical interventions in ambulant children and young people with cerebral palsy: a study protocol. | [2020] There Is Limited and Inconsistent Reporting of Postoperative Rehabilitation for Femoroacetabular Impingement Syndrome: A Scoping Review of 169 Studies. | [2020] Acetabular Component Migration Measured Using Radiostereometric Analysis Following Revision Total Hip Arthroplasty: A Scoping Review.,[2023] Elbow joint biomechanics during ADL focusing on total elbow arthroplasty - a scoping review. | [2023] Should orthognathic surgery be performed in growing patients? A scoping review. | [2023] Return to Pivoting Sports after Cartilage Repair Surgery of the Knee: A Scoping Review.,give,[2019] General versus spinal anesthesia for the elderly hip fractured patient. | [2019] [80 years of intramedullary nailing : New facts and information about a milestone in osteosynthesis]. | [2019] Locking nail versus locking plate for proximal humeral fracture fixation in an elderly population: a prospective randomised controlled trial.,[2019] Cementing technique for primary knee arthroplasty: a scoping review. | [2022] Factors influencing self-perceived functioning after volar locking plate fixation of distal radius fractures: a scoping review protocol. | [2023] Elbow joint biomechanics during ADL focusing on total elbow arthroplasty - a scoping review.,,,
for adult spinal,3,2016,0.038,0.024,0.012,0.0,0.019,0.018,0.017,0.041,0.082,0.104,0.059,0.144,0.167,0.195,0.161,0.184,0.25,0.201,0.323,0.277,0.268,2023,0.323,0.262,371,"object (lift 17.6, wsp. 9); thoracic spine (lift 10.7, wsp. 4); of background data (lift 9.2, wsp. 20); summary of background (lift 9.2, wsp. 20); bone morphogenetic protein (lift 6.7, wsp. 4)","[2015] Time to development, clinical and radiographic characteristics, and management of proximal junctional kyphosis following adult thoracolumbar instrumented fusion for spinal deformity. | [2015] Proximal Junctional Failure After Long-Segment Instrumentation for Degenerative Lumbar Kyphosis With Ankylosing Spinal Disorder. | [2015] Complications and neurological deficits following minimally invasive anterior column release for adult spinal deformity: a retrospective study.",[2023] Does the Global Alignment and Proportion score predict mechanical complications in circumferential minimally invasive surgery for adult spinal deformity? | [2023] Junctional Kyphosis after Correction with Long Instrumentation for Late Posttraumatic Thoracolumbar Kyphosis: Characteristics and Risk Factors. | [2023] Effects of Perioperative Teriparatide Treatment on the Hounsfield Unit Values at the Upper Instrumented Vertebra in Adult Spinal Deformity Surgery.,object,[2016] Conservative and Operative Treatment in Extension Teardrop Fractures of the Axis. | [2014] Real-time control of an interactive impulsive virtual prosthesis. | [2014] Displaced intra-articular fractures of the great toe in children: intervene with caution!,"[2014] Impact of age on the likelihood of reaching a minimum clinically important difference in 374 three-column spinal osteotomies: clinical article. | [2014] Management of sagittal balance in adult spinal deformity with minimally invasive anterolateral lumbar interbody fusion: a preliminary radiographic study. | [2014] Comparison of radiographic results after minimally invasive, hybrid, and open surgery for adult spinal deformity: a multicenter study of 184 patients.",,,
lateral extra articular,3,2019,0.0,0.012,0.0,0.0,0.0,0.018,0.025,0.008,0.007,0.007,0.044,0.036,0.077,0.049,0.116,0.143,0.2,0.214,0.21,0.29,0.395,2025,0.395,0.262,273,"sectioned (lift 57.4, wsp. 5); posterior to the (lift 40.4, wsp. 4); reviewed at (lift 33.0, wsp. 5); in association with (lift 17.2, wsp. 4); portal (lift 8.4, wsp. 4)","[2018] Editorial Commentary: Filling the Void in Translational Research for Lateral Extra-articular Tenodesis for Anterior Cruciate Ligament Reconstruction: Are We Saturated With Biomechanical Studies? | [2018] Lateral Augmentation Procedures in Anterior Cruciate Ligament Reconstruction: Anatomic, Biomechanical, Imaging, and Clinical Evidence. | [2018] The anterolateral complex of the knee: results from the International ALC Consensus Group Meeting.","[2023] Editorial Commentary: Autograft, Early Surgery, 2-Stage Surgery for 1 cm of Tunnel Widening or Greater, and Anterolateral Ligament Reconstruction or Lateral Extra-articular Tenodesis May Improve Outcomes of Anterior Cruciate Ligament Revision Surgery. | [2023] Editorial Commentary: During Anterior Cruciate Ligament Reconstruction, Lateral Extra-Articular Procedures Have Risks and Should be Reserved for Proper Indications: Do Not LET ALL Revision Anterior Cruciate Ligament Reconstructions Be the Same. | [2023] No increase in adverse events with lateral extra-articular tenodesis augmentat",sectioned,[2017] Reconstruction of the Shallow Acetabulum With a Combination of Autologous Bulk and Impaction Bone Grafting Fixed by Cement. | [2017] Novel Spiked-Washer Repair Is Biomechanically Superior to Suture and Bone Tunnels for Arcuate Fracture Repair. | [2017] Is an Anterolateral Ligament Reconstruction Required in ACL-Reconstructed Knees With Associated Injury to the Anterolateral Structures? A Robotic Analysis of Rotational Knee Stability.,[2017] Anterolateral Knee Extra-articular Stabilizers: A Robotic Study Comparing Anterolateral Ligament Reconstruction and Modified Lemaire Lateral Extra-articular Tenodesis. | [2019] Biomechanical Assessment of a Distally Fixed Lateral Extra-articular Augmentation Procedure in the Treatment of Anterolateral Rotational Laxity of the Knee. | [2020] Lateral Extra-articular Tenodesis Reduces Anterior Cruciate Ligament Graft Force and Anterior Tibial Translation in Response to Applied Pivoting and Anterior Drawer Loads.,,,
assisted total hip,3,2021,0.025,0.012,0.023,0.031,0.019,0.018,0.008,0.025,0.007,0.022,0.059,0.043,0.035,0.042,0.045,0.089,0.169,0.201,0.218,0.337,0.268,2024,0.337,0.238,242,"cup were (lift 53.5, wsp. 7); computer navigation (lift 37.1, wsp. 6); of the cup (lift 34.8, wsp. 7); the cup (lift 18.6, wsp. 7); the acetabular component (lift 16.5, wsp. 4)","[2020] Errors in femoral anteversion, femoral offset, and vertical offset following robot-assisted total hip arthroplasty. | [2020] A retrospective study comparing a single surgeon's experience on manual versus robot-assisted total hip arthroplasty after the learning curve of the latter procedure - A cohort study. | [2020] Impact of surgeon handedness in manual and robot-assisted total hip arthroplasty.",[2023] Evaluation of Comparative Efficacy and Safety of Surgical Approaches for Total Hip Arthroplasty: A Systematic Review and Network Meta-analysis. | [2023] Robotic arm-assisted total hip arthroplasty via a minimally invasive anterolateral approach in the supine position improves the precision of cup placement in patients with developmental dysplasia of the hip. | [2023] CT required to perform robotic-assisted total hip arthroplasty can identify previously undiagnosed osteoporosis and guide femoral fixation strategy.,cup were,[2019] Outcomes of Dual Mobility Acetabular Cups in Total Hip Arthroplasty Patients. | [2019] A comparative study about the incidence of dislocation and peri-prosthetic fracture between dual mobility versus standard cups after primary total hip arthroplasty. | [2019] Dislocation rates with combinations of anti-protrusio cages and dual mobility cups in revision cases: Are we safe?,[2020] Robotic-Arm Assisted Direct Anterior Total Hip Arthroplasty; Improving Implant Accuracy. | [2021] Consideration of pelvic tilt at the time of preoperative planning improves standing acetabular position after robotic-arm assisted total hip arthroplasty. | [2021] [Application of Mako robot-assisted total hip arthroplasty in developmental dysplasia of the hip].,,,
unilateral biportal endoscopic,3,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.014,0.035,0.026,0.024,0.019,0.187,0.173,0.277,0.361,2025,0.361,0.201,164,"epidural hematoma (lift 80.4, wsp. 7); decompression of the (lift 25.2, wsp. 4); herniated (lift 18.5, wsp. 4); epidural (lift 14.4, wsp. 8); portal (lift 13.9, wsp. 6)","[2021] Clinical Comparison of Unilateral Biportal Endoscopic Laminectomy versus Microendoscopic Laminectomy for Single-Level Laminectomy: A Single-Center, Retrospective Analysis. | [2021] Analysis of risk factors for perioperative hidden blood loss in unilateral biportal endoscopic spine surgery: a retrospective multicenter study. | [2021] Clinical comparison of unilateral biportal endoscopic discectomy with percutaneous endoscopic lumbar discectomy for single l4/5-level lumbar disk herniation.",[2023] Comparison of Clinical Outcomes and Muscle Invasiveness between Unilateral Biportal Endoscopic Discectomy and Percutaneous Endoscopic Interlaminar Discectomy for Lumbar Disc Herniation at L5/S1 Level. | [2023] Transforaminal Interbody Fusion Using the Unilateral Biportal Endoscopic Technique Compared With Transforaminal Lumbar Interbody Fusion for the Treatment of Lumbar Spine Diseases: Analysis of Clinical and Radiological Outcomes. | [2023] Clinical Efficacy of Bilateral Decompression Using Biportal Endoscopic Versus Minimally Invasive Transforaminal Lumbar Interbody Fusion for the Tr,epidural hematoma,[2020] Five-year Reoperation Rates and Causes for Reoperations Following Lumbar Microendoscopic Discectomy and Decompression. | [2020] Lumbar artery pseudoaneurysm: a rare case of delayed onset incomplete cauda equina syndrome following transforaminal lumbar interbody fusion. | [2020] Spontaneous Spinal Epidural Hematoma After Normal Spontaneous Delivery with Epidural Analgesia: Case Report and Literature Review.,[2022] [Comparison of unilateral biportal endoscopic transforaminal lumbar interbody fusion versus minimally invasive tubular transforaminal lumbar interbody fusion for lumbar degenerative disease]. | [2022] [Unilateral biportal endoscopic discectomy for high-grade migrated lumbar disc herniation]. | [2022] [Learning curve analysis of unilateral biportal endoscopic lumbar interbody fusion].,,,
of covid 19,3,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446,0.362,0.242,0.21,0.115,0.06,2020,0.446,0.2,222,"waiting list (lift 53.4, wsp. 5); polymerase chain reaction (lift 37.2, wsp. 9); testing of (lift 9.1, wsp. 4); had to (lift 8.7, wsp. 5); we report a (lift 5.2, wsp. 6)",[2020] What's Important: Facing Fear in the Time of COVID-19. | [2020] Recommendations for the Care of Pediatric Orthopaedic Patients During the COVID-19 Pandemic. | [2020] COVID-19 and orthopaedic surgeons: the Indian scenario.,"[2023] Physical and financial impacts caused by the COVID-19 pandemic exacerbate knee pain: A longitudinal study of a large-scale general population. | [2023] COVID-19 vaccination improved outcomes in the treatment of geriatric hip fractures between December 2020 and January 2022. | [2023] Impact of COVID-19 on Elective Orthopaedic Surgery Outcomes During the Peak of the Pandemic, an Uptick of Complications: An Analysis of the ACS-NSQIP.",waiting list,"[2018] Total Knee Replacement and the Effect of Technology on Cocreation for Improved Outcomes and Delivery: Qualitative Multi-Stakeholder Study. | [2018] Paraplegia as a presentation of primary hyperoxaluria. | [2018] Improving physical activity, pain and function in patients waiting for hip and knee arthroplasty by combining targeted exercise training with behaviour change counselling: study protocol for a randomised controlled trial.",[2020] Operating room efficiency and timing during coronavirus disease 2019 outbreak in a referral orthopaedic hospital in Northern Italy. | [2021] Is it safe yet? Patient readiness and perceptions about returning to hospital for planned orthopaedic care. | [2021] Impact of COVID-19 on opioid use in those awaiting hip and knee arthroplasty: a retrospective cohort study.,,,
anterolateral ligament,2,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.007,0.074,0.144,0.223,0.153,0.181,0.196,0.187,0.159,0.188,0.182,0.268,2025,0.268,0.197,292,"ligament of the (lift 120.7, wsp. 14); ligament of (lift 96.3, wsp. 14); restraint (lift 83.3, wsp. 6); sectioned (lift 60.7, wsp. 6); 6 degree (lift 40.9, wsp. 6)","[2015] Outcome of a Combined Anterior Cruciate Ligament and Anterolateral Ligament Reconstruction Technique With a Minimum 2-Year Follow-up. | [2015] Arthroscopic arthritis options are on the horizon. | [2015] A review of ligament augmentation with the InternalBrace™: the surgical principle is described for the lateral ankle ligament and ACL repair in particular, and a comprehensive review of other surgical applications and techniques is presented.","[2023] Editorial Commentary: Autograft, Early Surgery, 2-Stage Surgery for 1 cm of Tunnel Widening or Greater, and Anterolateral Ligament Reconstruction or Lateral Extra-articular Tenodesis May Improve Outcomes of Anterior Cruciate Ligament Revision Surgery. | [2023] Editorial Commentary: During Anterior Cruciate Ligament Reconstruction, Lateral Extra-Articular Procedures Have Risks and Should be Reserved for Proper Indications: Do Not LET ALL Revision Anterior Cruciate Ligament Reconstructions Be the Same. | [2023] Failure Rates of Repaired Bucket-Handle Tears of the Medial Meniscus Concomita",ligament of the,[2014] Value of ultrasonography for detecting chronic injury of the lateral ligaments of the ankle joint compared with ultrasonography findings. | [2014] Spontaneous reduction in ossification of the posterior longitudinal ligament of the thoracic spine after posterior spinal fusion without decompression: a case report. | [2014] The interference of distal humeral plating with the medial and lateral collateral ligaments of the elbow.,[2015] Biomechanical analysis of simulated clinical testing and reconstruction of the anterolateral ligament of the knee. | [2015] The anterolateral ligament (ALL) and its role in rotational extra-articular stability of the knee joint: a review of anatomy and surgical concepts. | [2015] Revisiting the Anterolateral Ligament of the Knee.,,,
medial open wedge,3,2019,0.025,0.024,0.012,0.021,0.039,0.018,0.042,0.058,0.03,0.052,0.081,0.065,0.097,0.09,0.168,0.125,0.169,0.166,0.158,0.223,0.147,2024,0.223,0.173,257,"of the mechanical (lift 31.2, wsp. 4); therapeutic case series (lift 23.3, wsp. 4); the patellar (lift 14.3, wsp. 5); osteoarthritis of the (lift 11.9, wsp. 7); osteotomy of the (lift 8.3, wsp. 4)",[2018] Ten-Year Results of Medial Open-Wedge High Tibial Osteotomy and Chondral Resurfacing in Severe Medial Osteoarthritis and Varus Malalignment. | [2018] Ankle and Hindfoot Symptoms after Medial Open Wedge High Tibial Osteotomy. | [2018] The correlation of sagittal osteotomy inclination and the anteroposterior translation in medial open-wedge high tibial osteotomy-one of the causes affecting the patellofemoral joint?,[2023] Allogeneic Umbilical Cord-Blood-Derived Mesenchymal Stem Cells and Hyaluronate Composite Combined with High Tibial Osteotomy for Medial Knee Osteoarthritis with Full-Thickness Cartilage Defects. | [2023] Higher Association of Pelvis-Knee-Ankle Angle Compared With Hip-Knee-Ankle Angle With Knee Adduction Moment and Patient-Reported Outcomes After High Tibial Osteotomy. | [2023] Hybrid Lateral Closed-Wedge High Tibial Osteotomy Showed Similar Accuracy in Angular Correction and Reduction of Posterior Tibial Slope Compared to Opening-Wedge High Tibial Osteotomy: A Correction Angle Matched C,of the mechanical,[2017] Preventive Effect of Dynamic Stabilization Against Adjacent Segment Degeneration After Posterior Lumbar Interbody Fusion. | [2018] Rebound of Frontal Plane Malalignment After Tension Band Plating. | [2017] Two-Layer Elastographic 3-D Traction Force Microscopy.,[2018] Release of the medial collateral ligament is mandatory in medial open-wedge high tibial osteotomy. | [2019] ACL degeneration after an excessive increase in the medial proximal tibial angle with medial open wedge high tibial osteotomy. | [2020] CAS and PSI increase coronal alignment accuracy and reduce outliers when compared to traditional technique of medial open wedge high tibial osteotomy: a meta-analysis.,,,
tranexamic acid in,3,2014,0.038,0.036,0.012,0.021,0.019,0.037,0.059,0.075,0.127,0.171,0.178,0.324,0.264,0.306,0.245,0.208,0.25,0.152,0.15,0.196,0.107,2016,0.324,0.173,422,"bolus (lift 29.6, wsp. 5); infusion (lift 9.6, wsp. 6); injection of (lift 6.5, wsp. 5)",[2013] Use of intravenous tranexamic acid in total knee arthroplasty: a meta-analysis of randomized controlled trials. | [2013] Practical issues for the use of tranexamic acid in total knee arthroplasty: a systematic review. | [2013] [Local application of tranexamic acid reduces blood less in unilateral total knee arthroplasty: a retrospective comparison analysis].,[2023] Tranexamic acid in total knee arthroplasty. | [2023] The Clinical Effect of Topical Application of Tranexamic Acid in Arthroscopic Synovectomy of Pigmented Villonodular Synovitis of the Knee. | [2023] Efficacy and safety of tranexamic acid in elderly patients with femoral neck fracture treated with hip arthroplasty: A systematic review and meta-analysis.,bolus,"[2012] Influence of preoperative 7.5% hypertonic saline on neutrophil activation after reamed intramedullary nailing of femur shaft fractures: a prospective randomized pilot study. | [2012] Continuous femoral nerve blocks: decreasing local anesthetic concentration to minimize quadriceps femoris weakness. | [2012] Evaluation of the efficacy of tranexamic acid on blood loss in orthognathic surgery. A prospective, randomized clinical study.",[2012] The effect of bolus administration of tranexamic acid in revision hip arthroplasty. | [2013] Effect of tranexamic acid on reducing postoperative blood loss in combined hypotensive epidural anesthesia and general anesthesia for total hip replacement. | [2014] Single perioperative dose of tranexamic acid in primary hip and knee arthroplasty.,,,
study protocol for,3,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.067,0.089,0.126,0.129,0.16,0.146,0.174,0.161,0.144,0.187,0.203,0.148,0.181,2023,0.203,0.171,286,"the usual (lift 36.2, wsp. 4); of tissue (lift 13.3, wsp. 4); this group (lift 7.7, wsp. 4); painful (lift 3.7, wsp. 4)",[2014] Targeted rehabilitation to improve outcome after total knee replacement (TRIO): study protocol for a randomised controlled trial. | [2014] Comparative effectiveness of microdecompression and laminectomy for central lumbar spinal stenosis: study protocol for an observational study. | [2014] Is additional hyperbaric oxygen therapy cost-effective for treating ischemic diabetic ulcers? Study protocol for the Dutch DAMOCLES multicenter randomized clinical trial?,[2023] Surgical treatment of neuromuscular Early Onset Scoliosis with a bilateral posterior one-way rod compared to the Spring Distraction System: study protocol for a limited-efficacy Randomized Controlled Trial (BiPOWR). | [2023] Effect of dexmedetomidine on postoperative cognitive dysfunction in elderly patients undergoing orthopaedic surgery: study protocol for a randomized controlled trial. | [2023] Lateral compression type 1 fracture fixation in the elderly (L1FE): study protocol for a randomised controlled trial (with internal pilot) comparing the effects of INFIX surgery and non-surgic,the usual,"[2013] Fractures in children younger than 18 months. | [2013] Measurement of dabigatran and rivaroxaban in primary prevention of venous thromboembolism in 106 patients, who have undergone major orthopedic surgery: an observational study. | [2013] Pre-extractive interradicular implant bed preparation: case presentations of a novel approach to immediate implant placement at multirooted molar sites.",[2014] Effectiveness of mechanical traction as a non-surgical treatment for carpal tunnel syndrome compared to care as usual: study protocol for a randomized controlled trial. | [2016] Physical therapy aimed at self-management versus usual care physical therapy after hip arthroscopy for femoroacetabular impingement: study protocol for a randomized controlled trial. | [2016] Effectiveness and cost-effectiveness of outpatient physiotherapy after knee replacement for osteoarthritis: study protocol for a randomised controlled trial.,,,
development and validation,3,2023,0.038,0.0,0.0,0.0,0.019,0.018,0.025,0.033,0.037,0.052,0.052,0.065,0.063,0.083,0.058,0.083,0.075,0.083,0.143,0.182,0.254,2025,0.254,0.147,194,"tested in (lift 14.3, wsp. 4); total hip replacement (lift 4.7, wsp. 5); hip replacement (lift 3.7, wsp. 6)",[2022] Development and Validation of a Finite Element Model of Wear in UHMWPE Liner Using Experimental Data From Hip Simulator Studies. | [2022] A Patient-specific Approach to Alignment and Proximal Junctional Kyphosis Risk Assessment in Adult Spinal Deformity Surgery: Development and Validation of a Predictive Tool. | [2022] Application of a robotics path planning algorithm to assess the risk of mobile bearing dislocation in lateral unicompartmental knee replacement.,[2023] Development and Validation of a Nomogram to Predict the Risk of Lumbar Disk Reherniation within 2 Years After Percutaneous Endoscopic Lumbar Discectomy. | [2023] Development and validation of a nomogram to predict the risk of surgical site infection within 1 month after transforaminal lumbar interbody fusion. | [2023] Development and Validation of a Prognostic Model for the Risk of Recurrent Lumbar Disc Herniation After Percutaneous Endoscopic Transforaminal Discectomy.,tested in,[2021] What Factors Predict Adverse Discharge Disposition in Patients Older Than 60 Years Undergoing Lower-extremity Surgery? The Adverse Discharge in Older Patients after Lower-extremity Surgery (ADELES) Risk Score. | [2021] The Anatomical and Biomechanical Superiority of Novel Posterior En Bloc Elevation Cervical Laminoplasty. | [2021] Stiffness of a type II external skeletal fixator and locking compression plate in a fracture gap model.,[2024] Development and validation of a new drug-focused predictive risk score for postoperative delirium in orthopaedic and trauma surgery patients. | [2025] Development and validation of collaborative robot-assisted cutting method for iliac crest flap raising: Randomized crossover trial. | [2024] Development and validation of a biomechanically fidelic surgical training knee model.,,,
